,gender,n_credits
0,Male,104
1,Male,162
2,Male,134
3,Female,99
4,Male,121
5,Male,60
6,Male,20
7,Male,11
8,Male,1
9,Male,31
10,Male,6
11,Male,16
12,Male,40
13,Female,40
14,Male,64
15,Female,98
16,Female,41
17,Male,52
18,Male,60
19,Male,19
20,Male,0
21,Male,1
22,Female,1
23,Male,2
24,Male,1
25,Male,148
26,Female,59
27,Male,57
28,Male,62
29,Female,64
30,Male,3
31,Male,4
32,Male,1
33,Male,11
34,Male,246
35,Male,47
36,Male,0
37,Male,0
38,Male,0
39,Female,51
40,Male,110
41,Female,54
42,Female,192
43,Male,12
44,Male,67
45,Male,126
46,Male,42
47,Female,1
48,Female,6
49,Male,6
50,Male,1
51,Male,2
52,Male,156
53,Female,67
54,Male,110
55,Male,110
56,Male,30
57,Male,1
58,Male,17
59,Male,3
60,Male,1
61,Male,0
62,Male,99
63,Male,102
64,Female,41
65,Male,71
66,Male,109
67,Male,140
68,Male,7
69,Male,74
70,Male,6
71,Male,2
72,Male,135
73,Male,8
74,Female,11
75,Male,4
76,Female,12
77,Not Specified,0
78,Male,0
79,Not Specified,0
80,Female,50
81,Female,86
82,Male,38
83,Female,44
84,Female,113
85,Male,84
86,Male,1
87,Female,0
88,Male,1
89,Male,48
90,Male,88
91,Male,74
92,Female,114
93,Male,292
94,Male,49
95,Female,63
96,Male,12
97,Male,58
98,Male,3
99,Male,0
100,Male,7
101,Female,3
102,Female,5
103,Male,7
104,Male,36
105,Male,66
106,Male,12
107,Male,61
108,Male,96
109,Male,1
110,Male,5
111,Male,81
112,Female,71
113,Female,72
114,Male,183
115,Male,0
116,Male,260
117,Male,0
118,Male,1
119,Male,59
120,Male,9
121,Male,34
122,Male,3
123,Male,22
124,Male,25
125,Female,2
126,Female,0
127,Male,1
128,Male,1
129,Not Specified,1
130,Not Specified,0
131,Not Specified,0
132,Male,29
133,Male,20
134,Female,32
135,Male,3
136,Female,54
137,Male,212
138,Male,3
139,Not Specified,0
140,Male,1
141,Male,1
142,Male,18
143,Female,10
144,Male,0
145,Male,1
146,Male,1
147,Male,4
148,Female,6
149,Male,1
150,Male,2
151,Male,157
152,Male,182
153,Male,116
154,Male,82
155,Male,2
156,Male,6
157,Male,68
158,Female,40
159,Female,64
160,Male,19
161,Male,1
162,Female,70
163,Female,77
164,Male,86
165,Male,104
166,Not Specified,1
167,Female,48
168,Male,4
169,Female,19
170,Male,92
171,Male,9
172,Male,1
173,Male,21
174,Not Specified,3
175,Female,3
176,Not Specified,1
177,Male,10
178,Male,60
179,Male,14
180,Female,2
181,Male,97
182,Male,108
183,Male,89
184,Male,118
185,Male,36
186,Male,24
187,Female,7
188,Male,34
189,Not Specified,5
190,Male,21
191,Male,55
192,Male,0
193,Male,19
194,Male,10
195,Male,1
196,Male,0
197,Male,62
198,Male,31
199,Male,34
200,Male,4
201,Male,40
202,Female,35
203,Male,59
204,Male,23
205,Male,13
206,Not Specified,0
207,Not Specified,0
208,Not Specified,0
209,Male,65
210,Female,20
211,Male,17
212,Female,24
213,Male,23
214,Male,26
215,Male,6
216,Male,24
217,Male,27
218,Male,2
219,Female,16
220,Female,11
221,Female,41
222,Male,60
223,Female,2
224,Male,2
225,Male,4
226,Male,0
227,Male,0
228,Male,16
229,Not Specified,6
230,Male,93
231,Female,1
232,Male,5
233,Male,0
234,Male,0
235,Male,0
236,Male,1
237,Male,108
238,Male,28
239,Female,33
240,Male,180
241,Male,67
242,Not Specified,8
243,Male,2
244,Male,1
245,Not Specified,0
246,Male,0
247,Not Specified,0
248,Male,0
249,Male,1
250,Male,2
251,Male,1
252,Male,28
253,Male,4
254,Male,1
255,Male,8
256,Female,5
257,Male,0
258,Male,0
259,Male,18
260,Male,0
261,Male,47
262,Female,55
263,Male,42
264,Female,46
265,Female,0
266,Male,1
267,Male,0
268,Male,28
269,Male,20
270,Male,100
271,Male,27
272,Male,0
273,Male,3
274,Male,8
275,Male,10
276,Male,3
277,Male,31
278,Female,63
279,Not Specified,0
280,Not Specified,2
281,Male,6
282,Male,0
283,Male,16
284,Male,88
285,Female,70
286,Female,54
287,Male,74
288,Male,0
289,Male,7
290,Male,0
291,Male,11
292,Female,64
293,Male,10
294,Not Specified,1
295,Male,0
296,Male,7
297,Male,0
298,Male,17
299,Not Specified,0
300,Male,8
301,Male,1
302,Male,119
303,Not Specified,0
304,Male,189
305,Female,54
306,Male,101
307,Male,100
308,Male,11
309,Male,68
310,Male,91
311,Female,18
312,Male,126
313,Female,30
314,Female,1
315,Male,0
316,Not Specified,0
317,Not Specified,0
318,Male,27
319,Female,14
320,Female,27
321,Female,145
322,Female,10
323,Male,0
324,Female,51
325,Male,1
326,Male,3
327,Male,40
328,Female,3
329,Male,16
330,Male,0
331,Male,0
332,Female,26
333,Male,111
334,Male,9
335,Male,3
336,Male,5
337,Male,11
338,Female,1
339,Male,26
340,Male,8
341,Male,17
342,Female,34
343,Male,12
344,Male,31
345,Female,3
346,Female,2
347,Male,1
348,Male,0
349,Female,4
350,Female,0
351,Female,0
352,Male,1
353,Female,52
354,Male,54
355,Male,21
356,Female,5
357,Female,74
358,Female,41
359,Male,66
360,Male,10
361,Male,5
362,Not Specified,1
363,Male,1
364,Female,1
365,Male,0
366,Male,0
367,Male,0
368,Female,0
369,Male,1
370,Female,0
371,Male,4
372,Male,1
373,Male,0
374,Female,0
375,Not Specified,0
376,Male,0
377,Female,0
378,Female,0
379,Male,0
380,Female,99
381,Male,32
382,Male,6
383,Male,65
384,Female,17
385,Male,2
386,Female,2
387,Male,9
388,Female,5
389,Male,155
390,Female,21
391,Male,2
392,Male,58
393,Male,12
394,Male,5
395,Female,0
396,Female,3
397,Male,12
398,Male,0
399,Female,4
400,Female,0
401,Male,91
402,Female,54
403,Female,51
404,Male,28
405,Male,84
406,Female,7
407,Male,12
408,Male,1
409,Male,6
410,Male,48
411,Male,7
412,Female,0
413,Male,1
414,Male,101
415,Female,113
416,Female,58
417,Male,125
418,Male,133
419,Male,89
420,Female,63
421,Male,72
422,Male,123
423,Male,52
424,Female,82
425,Male,26
426,Male,71
427,Male,8
428,Female,71
429,Male,77
430,Female,54
431,Male,31
432,Male,102
433,Not Specified,0
434,Male,98
435,Male,15
436,Female,15
437,Male,133
438,Female,30
439,Male,79
440,Male,75
441,Male,1
442,Female,5
443,Female,46
444,Male,7
445,Male,9
446,Female,5
447,Female,4
448,Male,1
449,Not Specified,0
450,Female,1
451,Female,0
452,Female,0
453,Male,0
454,Male,1
455,Female,0
456,Female,7
457,Female,5
458,Male,1
459,Male,4
460,Female,0
461,Male,2
462,Male,0
463,Female,3
464,Male,41
465,Female,0
466,Female,4
467,Male,106
468,Female,27
469,Male,52
470,Male,1
471,Male,1
472,Male,2
473,Male,4
474,Male,44
475,Female,2
476,Male,5
477,Not Specified,0
478,Male,14
479,Male,7
480,Male,155
481,Female,106
482,Male,90
483,Male,158
484,Female,112
485,Male,67
486,Male,112
487,Male,65
488,Female,82
489,Male,1
490,Male,3
491,Male,6
492,Female,0
493,Male,3
494,Female,0
495,Female,0
496,Male,3
497,Female,1
498,Female,0
499,Male,4
500,Not Specified,2
501,Male,16
502,Male,37
503,Female,1
504,Female,68
505,Male,20
506,Female,32
507,Male,74
508,Male,117
509,Male,34
510,Male,85
511,Male,14
512,Female,23
513,Male,21
514,Female,56
515,Female,58
516,Male,31
517,Not Specified,9
518,Not Specified,0
519,Male,15
520,Not Specified,0
521,Not Specified,0
522,Not Specified,0
523,Not Specified,0
524,Female,0
525,Male,0
526,Male,0
527,Male,12
528,Male,16
529,Male,3
530,Male,1
531,Female,0
532,Female,37
533,Female,10
534,Male,3
535,Male,2
536,Male,5
537,Male,132
538,Female,61
539,Female,8
540,Male,63
541,Male,44
542,Male,16
543,Male,167
544,Male,110
545,Female,3
546,Male,147
547,Male,41
548,Male,37
549,Male,11
550,Male,35
551,Male,60
552,Male,31
553,Male,4
554,Male,2
555,Female,4
556,Male,2
557,Male,37
558,Male,2
559,Male,6
560,Male,14
561,Male,1
562,Male,27
563,Male,82
564,Female,98
565,Female,42
566,Female,101
567,Female,47
568,Male,148
569,Female,44
570,Male,49
571,Female,48
572,Male,8
573,Female,6
574,Male,95
575,Female,31
576,Male,12
577,Male,222
578,Female,34
579,Male,50
580,Male,31
581,Male,78
582,Male,16
583,Male,131
584,Male,2
585,Male,0
586,Male,1
587,Male,45
588,Male,0
589,Male,134
590,Male,0
591,Not Specified,0
592,Female,1
593,Male,7
594,Female,87
595,Male,2
596,Male,1
597,Female,2
598,Female,0
599,Male,4
600,Male,1
601,Male,0
602,Female,37
603,Male,52
604,Female,5
605,Male,72
606,Male,39
607,Female,4
608,Female,17
609,Male,11
610,Male,3
611,Male,1
612,Female,21
613,Male,1
614,Male,0
615,Male,1
616,Male,117
617,Female,22
618,Male,85
619,Male,24
620,Male,77
